sex length choice
M 1.30 I
M 1.32 F
M 1.32 F
M 1.40 F
M 1.42 I
M 1.42 F
M 1.47 I
M 1.47 F
M 1.50 I
M 1.52 I
M 1.63 I
M 1.65 O
M 1.65 O
M 1.65 I
M 1.65 F
M 1.68 F
M 1.70 I
M 1.73 O
M 1.78 F
M 1.78 O
M 1.80 F
M 1.85 F
M 1.93 I
M 1.93 F
M 1.98 I
M 2.03 F
M 2.03 F
M 2.31 F
M 2.36 F
M 2.46 F
M 3.25 O
M 3.28 O
M 3.33 F
M 3.56 F
M 3.58 F
M 3.66 F
M 3.68 O
M 3.71 F
M 3.89 F 
F 1.24 I
F 1.30 I
F 1.45 I
F 1.45 O
F 1.55 I
F 1.60 I
F 1.60 I
F 1.65 F
F 1.78 I
F 1.78 O
F 1.80 I
F 1.88 I
F 2.16 F
F 2.26 F
F 2.31 F
F 2.36 F
F 2.39 F
F 2.41 F
F 2.44 F
F 2.56 O
F 2.67 F
F 2.72 I
F 2.79 F
F 2.84 F
